date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country
02-05-2015,22:35,?,2800 Lyngby,1,ukendt,Ballonerse beretning,2015,2,0,Danmark
02-05-2015,23:00,?,2830 Virum,1,rød,Ballonerse beretning,2015,2,0,Danmark
09-05-2015,22:15,2 min,2700 Brønshøj,2,ukendt,Ballonerse beretning,2015,2,120,Danmark
09-05-2015,22:35,2x2 min,2610 Rødovre,1,"gul, rød",Ballonerse beretning,2015,2,120,Danmark
09-05-2015,22:40,1 min,2730 Herlev,1,ukendt,Ballonerse beretning,2015,2,60,Danmark
10-05-2015,23:00,3–5 min,1441 København K,1,hvid,se beretning,2015,2,300,Danmark
12-05-2015,20:55,10 sek,2400 København NV,2,hvid,se beretning,2015,2,10,Danmark
16-05-2015,22:00,5 min,4300 Holbæk,1,ukendt,Ballonerse beretning,2015,2,300,Danmark
23-05-2015,00:15,5–7 min,5600 Fåborg,4,"orange, rød",se beretning,2015,2,420,Danmark
24-05-2015,01:15,2–3 sek,4600 Køge,1,"hvid, orange",se beretning,2015,2,3,Danmark
24-05-2015,11:59,2 min,1051 København K,2,"gul, hvid, sort",se beretning,2015,2,120,Danmark
01-06-2015,21:26,30 sek,2830 Virum,1,hvid,se beretning,2015,2,30,Danmark
02-06-2015,00:00,2–3 min,4560 Vig,2,hvid,se beretning,2015,2,180,Danmark
05-06-2015,02:25,ca. 20–30 sek,3660 Stenløse,1,hvid,"Den internationale Rumstation, ISSse beretning",2015,2,30,Danmark
16-06-2015,17:00,ca. 6 sek,2630 Tåstrup,1,sort,se beretning,2015,2,6,Danmark
24-05-2015,23:30,5 min,4293 Dianalund,5,ukendt,Ballonerse beretning,2015,3,300,Danmark
06-06-2015,00:03,ca. 10 min,4733 Tappernøje,5,hvid,se beretning,2015,3,600,Danmark
01-07-2015,22:30,ca. 1 timer,5471 Søndersø,5,rød,se beretning,2015,3,3600,Danmark
03-07-2015,22:50,ca. 10 min,8464 Galten,1,ukendt,Ballonerse beretning,2015,3,600,Danmark
04-07-2015,22:00,5–10 min,5260 Odense S,2,gul,Ballonerse beretning,2015,3,600,Danmark
04-07-2015,23:42,10 min,8660 Skanderborg,2,"orange, rød",Ballonerse beretning,2015,3,600,Danmark
14-07-2015,14:10,5 min,5000 Odense C,1,brun,se beretning,2015,3,300,Danmark
16-07-2015,21:07,ca. 1 sek,2730 Herlev,1,sort,fugle/insekterse beretning,2015,3,1,Danmark
17-07-2015,00:00,5–10 sek,2900 Hellerup,2,ukendt,se beretning,2015,3,10,Danmark
18-07-2015,22:30,ca. 2–3 min,7171 Uldum,2,hvid,Landingsprojektørerne på et flyse beretning,2015,3,180,Danmark
18-07-2015,22:30,ca. 4 min,2791 Dragør,2,gul,Ballonerse beretning,2015,3,240,Danmark
26-07-2015,22:50,3–4 sek,2600 Glostrup,2,grøn,se beretning,2015,3,4,Danmark
26-07-2015,22:55,10 sek,7300 Jelling,1,grøn,Ildkugle/„rumskrot“se forklaringse beretning,2015,3,10,Danmark
26-07-2015,22:55,5–10 sek,2600 Glostrup,1,"blå, grøn",se beretning,2015,3,10,Danmark
30-07-2015,00:30,45 min,7600 Struer,1,ukendt,Ballonerse beretning,2015,3,2700,Danmark
01-08-2015,22:25,ca. 3–5 min,4000 Roskilde,1,"gul, rød",Ballonerse beretning,2015,3,300,Danmark
01-08-2015,23:30,ca. 5 min,4550 Nykøbing Sj,1,hvid,se beretning,2015,3,300,Danmark
01-08-2015,23:45,ca. 2 min,4000 Roskilde,1,ukendt,„Fugle oplyst af bylys?“se beretning,2015,3,120,Danmark
02-08-2015,00:40,ca. 5 min,Tårnby2770 Kastrup,2,hvid,se beretning,2015,3,300,Danmark
02-08-2015,22:50,5 min,8700 Horsens,4,"grøn, hvid, orange, rød",se beretning,2015,3,300,Danmark
02-08-2015,23:47,20 sek,8270 Højbjerg,1,hvid,se beretning,2015,3,20,Danmark
03-08-2015,00:00,30 min+,4300 Holbæk,2,hvid,se beretning,2015,3,1800,Danmark
06-08-2015,16:00,<30 min,7100 Vejle,1,grå,se beretning,2015,3,1800,Danmark
08-08-2015,03:30,5–6 sek,2665 Vallensbæk,1,hvid,se beretning,2015,3,6,Danmark
08-08-2015,08:00,ca. 1 t,5230 Odense M,1,"grøn, hvid",se beretning,2015,3,3600,Danmark
08-08-2015,20:42,1 min,4736 Karrebæksminde,2,ukendt,se beretning,2015,3,60,Danmark
08-08-2015,21:10,3–4 min,Jersie Strand2680 Solrød Strand,4,"gul, hvid",Ballonerse beretning,2015,3,240,Danmark
08-08-2015,22:00,5 min,8732 Hovedgård,2,ukendt,se beretning,2015,3,300,Danmark
08-08-2015,22:20,ca. 5 min,Tjørring7400 Herning,1,hvid,Ballonerse beretning,2015,3,300,Danmark
08-08-2015,22:46,10–20 min,Islev2610 Rødovre,4,gul,Ballonerse beretning,2015,3,1200,Danmark
08-08-2015,23:25,7–8 sek,6200 Aabenraa,2,hvid,satellitse beretning,2015,3,8,Danmark
12-08-2015,22:30,6–8 sek,8270 Højbjerg,1,ukendt,se beretning,2015,3,8,Danmark
13-08-2015,01:21,10–20 sek,8700 Horsens,1,sort,se beretning,2015,3,20,Danmark
13-08-2015,23:00,10 sek,2300 København S,4,ukendt,se beretning,2015,3,10,Danmark
13-08-2015,23:45,10–15 sek,9460 Brovst,2,hvid,se beretning,2015,3,15,Danmark
16-08-2015,01:35,?,7800 Skive,1,ukendt,se beretning,2015,3,0,Danmark
20-08-2015,00:00,2 min,4930 Maribo,1,"brun, rød",se beretning,2015,3,120,Danmark
20-08-2015,00:20,15–20 sek,6933 Kibæk,1,hvid,se beretning,2015,3,20,Danmark
22-08-2015,22:00,5 min,2690 Karlslunde,3,ukendt,Ballonerse beretning,2015,3,300,Danmark
22-08-2015,22:40,2–3 min,3100 Hornbæk,1,ukendt,Ballonerse beretning,2015,3,180,Danmark
22-08-2015,23:00,?,2635 Ishøj,3,rød,Ballonerse beretning,2015,3,0,Danmark
23-08-2015,01:30,5 min,7980 Vils,2,"blå, rød",stjernerse forklaringse beretning,2015,3,300,Danmark
27-08-2015,18:30,ca. 10 min,2730 Herlev,1,grå,fly med reklamebannerse beretning,2015,3,600,Danmark
15-09-2015,20:00,få sek,8220 Brabrand,1,ukendt,se beretning,2015,3,0,Danmark
12-09-2015,22:00,3 min,8200 Aarhus N,1,hvid,se beretning,2015,3,180,Danmark
16-09-2015,04:45,60 min,4690 Haslev,2,hvid,Venusse beretning,2015,3,3600,Danmark
18-09-2015,20:45,ca. 4 min,8320 Mårslet,1,gul,se beretning,2015,3,240,Danmark
19-09-2015,04:30,20 min,Nyhavn1051 København K,1,hvid,se beretning,2015,3,1200,Danmark
25-09-2015,20:30,15–20 min,4100 Ringsted,2,hvid,projektørlys?se beretning,2015,3,1200,Danmark
27-09-2015,03:45,ca. 25 min,9520 Skørping,1,"hvid, rød",se beretning,2015,3,1500,Danmark
29-09-2015,21:20,3 min,7480 Vildbjerg,1,hvid,se beretning,2015,3,180,Danmark
22-12-1973,01:00,2–7 min,3600 Frederikssund,1,ukendt,,2015,4,420,Danmark
15-09-2015,00:30,10 sek,"16200 Artjarvi, Finland",1,hvid,se beretning,2015,4,10,Danmark
01-10-2015,19:43,3–4 sek,Trekroner4000 Roskilde,2,hvid,Iridium-satellitse beretning,2015,4,4,Danmark
02-10-2015,00:00,2 t,4400 Kalundborg,5,"grøn, rød",se beretning,2015,4,7200,Danmark
05-10-2015,20:25,10 min,3000 Helsingør,2,ukendt,se beretning,2015,4,600,Danmark
17-10-2015,20:15,ca. 5 min,9800 Hjørring,1,ukendt,se beretning,2015,4,300,Danmark
20-10-2015,07:44,10 sek,7182 Bredsten,1,"blå, hvid",se beretning,2015,4,10,Danmark
29-10-2015,20:15,ca. 2–3 min,4654 Faxe Ladeplads,3,rød,se beretning,2015,4,180,Danmark
31-10-2015,19:16,3 sek,3480 Fredensborg,1,grøn,ildkuglese beretning og stjerneskud.info/,2015,4,3,Danmark
14-11-2015,20:14,4–5 min,9574 Bælum,2,"grøn, hvid",se beretning,2015,4,300,Danmark
15-11-2015,18:53,3 sek,7000 Fredericia,1,sort,se beretning,2015,4,3,Danmark
18-11-2015,18:15,3 min,8450 Hammel,1,sort,se beretning,2015,4,180,Danmark
22-11-2015,03:50,5+5 sek,8220 Brabrand,1,hvid,se beretning,2015,4,5,Danmark
22-11-2015,14:40,7 min,"0353 Oslo,",1,"grå, sølv",se beretning,2015,4,420,Norge
22-11-2015,22:45,5–7 min,6640 Lunderskov,1,ukendt,se beretning,2015,4,420,Danmark
23-11-2015,06:55,50 sek,4800 Nykøbing F,1,hvid,se beretning,2015,4,50,Danmark
23-11-2015,16:06,3 min,over Storebæltsbroen,1,hvid,se beretning,2015,4,180,Danmark
26-11-2015,07:45,2–3 min,6818 Årre,1,hvid,se beretning,2015,4,180,Danmark
26-11-2015,17:05,10 min,8950 Ørsted,1,hvid,se beretning,2015,4,600,Danmark
26-11-2015,00:00,1t 20 min,9230 Svenstrup J,2,ukendt,se beretning,2015,4,4800,Danmark
28-11-2015,23:20,1–2 min,2730 Herlev,2,ukendt,Ballonerse beretning,2015,4,120,Danmark
03-12-2015,05:00,1 t,7100 Vejle,1,hvid,Siriusse beretning,2015,4,3600,Danmark
07-12-2015,22:15,ca. 3 sek,9800 Hjørring,2,grøn,se beretning,2015,4,3,Danmark
08-12-2015,17:35,1 min,4262 Sandved,1,"blå, gul",ildkuglese beretning,2015,4,60,Danmark
15-12-2015,17:48,5 sek,2840 Holte,1,"grå, grøn",se beretning,2015,4,5,Danmark
15-12-2015,22:07,?,4681 Herfølge,1,ukendt,se beretning,2015,4,0,Danmark
18-12-2015,03:00,2 sek,"16200 Artjarvi, Finland",1,hvid,se beretning,2015,4,2,Danmark
21-12-2015,00:00,ca. 10 min,"9230 Ferslev,  Støvring",1,grå,se beretning,2015,4,600,Danmark
25-12-2015,00:55,10 sek,"3330 Uvelse,  Gørløse",1,hvid,se beretning,2015,4,10,Danmark
27-12-2015,22:00,2 min,"2512 Kvikne,",1,ukendt,se beretning,2015,4,120,Norge
12-06-2014,03:00,ca. 30–40 min,8464 Galten,1,"blå, gul, hvid, rød",se beretning,2014,1,2400,Danmark
06-11-2013,19:00,10 min,9970 Strandby,1,ukendt,se beretning,2014,1,600,Danmark
01-01-2014,00:00,60–80 sek,3400 Hillerød,3,ukendt,se beretning,2014,1,80,Danmark
01-01-2014,00:45,ca. 7–8 min,1658 København V,3,"orange, sort",se beretning,2014,1,480,Danmark
01-01-2014,03:06,3–6 sek,2850 Nærum,1,"blå, gul, orange",se beretning,2014,1,6,Danmark
05-01-2014,21:04,2 min,3450 Allerød,1,gul,se beretning,2014,1,120,Danmark
05-01-2014,23:33,ca. 30 sek,7100 Vejle,1,"gul, orange",Ballonerse beretning,2014,1,30,Danmark
10-01-2014,15:55,5 min,5800 Nyborg,2,hvid,se beretning,2014,1,300,Danmark
01-02-2014,01:00,?,4220 Korsør,2,"gul, hvid",se beretning,2014,1,0,Danmark
02-02-2014,19:55,30 sek,2820 Gentofte,3,ukendt,Ballonerse beretning,2014,1,30,Danmark
02-02-2014,20:03,3–4 min,"8543 Skader,  Hornslet",2,ukendt,se beretning,2014,1,240,Danmark
03-02-2014,12:40,5–6 min,4100 Ringsted,1,sort,solpletse beretning,2014,1,360,Danmark
07-02-2014,18:25,ca. 5 min,3650 Ølstykke,2,rød,Ballonerse beretning,2014,1,300,Danmark
14-02-2014,18:15,ca. 10 min,9800 Hjørring,3,rød,se beretning,2014,1,600,Danmark
14-02-2014,19:38,ca. 2 min,3630 Jægerspris,3,ukendt,se beretning,2014,1,120,Danmark
24-02-2014,02:00,>1 t,Playa de las Americas Tenerife,1,hvid,projektørlysse beretning,2014,1,3600,Danmark
08-03-2014,20:00,25 min,5485 Skamby,2,hvid,projektørlysse beretning,2014,1,1500,Danmark
08-03-2014,21:30,læn­ge,5892 Gudbjerg,10,ukendt,projektørlysse beretning,2014,1,0,Danmark
08-03-2014,21:55,10 min,5464 Brenderup,3,ukendt,projektørlysse beretning,2014,1,600,Danmark
12-03-2014,07:00,2 t,4320 Hvalsø/Lejre,1,"hvid, sort",se beretning,2014,1,7200,Danmark
12-03-2014,19:30,5 sek,2450 København SV,1,gul,se beretning,2014,1,5,Danmark
12-03-2014,21:57,5 sek,8766 Nørre Snede,1,rød,se beretning,2014,1,5,Danmark
17-03-2014,05:45,1–2 min,5270 Odense N,1,"hvid, orange",se beretning,2014,1,120,Danmark
19-03-2014,07:45,3–4 min,"4600 Ølsemagle,  Køge",2,"grå, sort, sølv",se beretning,2014,1,240,Danmark
20-03-2014,21:38,2 min,8660 Skanderborg,1,"hvid, rød",flyse beretning,2014,1,120,Danmark
22-03-2014,00:40,ca. 2 sek,"3400 Multebjerg,  Hillerød",1,"blå, grå",se beretning,2014,1,2,Danmark
23-03-2014,20:40,ca. 5 sek,8410 Rønde,2,"hvid, orange",se beretning,2014,1,5,Danmark
26-03-2014,21:00,5–8 sek,8330 Beder,1,"grøn, hvid",ildkuglese beretning,2014,1,8,Danmark
30-03-2014,00:50,2 sek,4173 Fjenneslev,1,hvid,ildkuglese beretning,2014,1,2,Danmark
30-03-2014,00:50,3–4 sek,6990 Ulfborg,2,hvid,ildkuglese beretning,2014,1,4,Danmark
15-04-2014,00:00,? min,2860 Søborg,1,ukendt,se beretning,2014,2,0,Danmark
01-04-2014,22:00,20 min,2830 Virum,1,rød,se beretning,2014,2,1200,Danmark
10-04-2014,23:30,3–4 min,4900 Nakskov,2,ukendt,se beretning,2014,2,240,Danmark
15-04-2014,03:36,10 min,4600 Køge,1,"blå, hvid, orange",se beretning,2014,2,600,Danmark
16-04-2014,01:00,1 min,5750 Ringe,1,hvid,se beretning,2014,2,60,Danmark
16-04-2014,21:00,5 min,3000 Helsingør,1,hvid,se beretning,2014,2,300,Danmark
19-04-2014,20:20,5 min,8700 Horsens,2,ukendt,Ballonerse beretning,2014,2,300,Danmark
20-04-2014,00:00,ca. 20 min,9560 Hadsund,3,hvid,se beretning,2014,2,1200,Danmark
25-04-2014,01:00,2–4 sek,9381 Sulsted,1,"gul, rød",se beretning,2014,2,4,Danmark
26-04-2014,22:15,30 sek,8270 Højbjerg,2,gul,se beretning,2014,2,30,Danmark
26-04-2014,22:25,?,3400 Hillerød,3,ukendt,se beretning,2014,2,0,Danmark
27-04-2014,22:00,1–4 min,3730 Nexø,2,rød,Ballonerse beretning,2014,2,240,Danmark
07-05-2014,16:55,?,6400 Sønderborg,1,sølv,se beretning,2014,2,0,Danmark
16-05-2014,22:40,30 sek,2970 Hørsholm,1,rød,se beretning,2014,2,30,Danmark
16-05-2014,23:25,<1 min,2600 Glostrup,1,ukendt,Ballonerse beretning,2014,2,60,Danmark
17-05-2014,00:15,7–8 min,3660 Ganløse,1,ukendt,se beretning,2014,2,480,Danmark
17-05-2014,22:48,ca. 30 sek,3220 Tisvildeleje,1,"gul, hvid",se beretning,2014,2,30,Danmark
17-05-2014,23:13,10 min,8250 Egå,2,gul,se beretning,2014,2,600,Danmark
22-05-2014,21:00,10 min,7741 Frøstrup,1,hvid,se beretning,2014,2,600,Danmark
24-05-2014,19:20,5 min,"6700 Hjerting,  Esbjerg",3,"hvid, sort",se beretning,2014,2,300,Danmark
29-05-2014,00:30,3 min,3000 Helsingør,2,hvid,se beretning,2014,2,180,Danmark
29-05-2014,22:50,3–4 min,2670 Greve,2,rød,Ballonerse beretning,2014,2,240,Danmark
07-06-2014,01:50,10 sek,2960 Rungsted,1,sort,se beretning,2014,2,10,Danmark
07-06-2014,20:25,>30 min,Stranden4736 Karrebæksminde,2,sort,se beretning,2014,2,1800,Danmark
07-06-2014,23:09,?,5250 Bellinge,2,gul,se beretning,2014,2,0,Danmark
13-06-2014,23:45,ca. 5 min,2900 Hellerup,1,ukendt,Ballonerse beretning,2014,2,300,Danmark
15-06-2014,23:42,5–10 min,4400 Kalundborg,3,"hvid, rød",se beretning,2014,2,600,Danmark
19-06-2014,22:00,ca. 2 min,5580 Nørre Åby,1,hvid,se beretning,2014,2,120,Danmark
22-06-2014,00:05,5 min,3900 Nuuk,3,sort,se beretning,2014,2,300,Danmark
22-06-2014,22:20,max. 2 min,2630 Høje Tåstrup,2,hvid,se beretning,2014,2,120,Danmark
24-06-2014,00:50,15 min,6900 Skjern,1,rød,se beretning,2014,2,900,Danmark
26-06-2014,11:25,2 min,1051 København K,2,sort,se beretning,2014,2,120,Danmark
26-06-2014,23:00,4–5 min,6400 Sønderborg,2,ukendt,Ballonerse beretning,2014,2,300,Danmark
28-06-2014,00:23,40–60 sek,4800 Nykøbing F,1,ukendt,Ballonerse beretning,2014,2,60,Danmark
10-11-2013,16:09,20 sek,1850 Frederiksberg C,1,ukendt,se beretning,2014,3,20,Danmark
26-06-2014,23:00,3–4 min,4060 Kirke Såby,1,ukendt,se beretning,2014,3,240,Danmark
06-07-2014,02:30,ca. 10 sek,3060 Espergærde,3,ukendt,se beretning,2014,3,10,Danmark
19-07-2014,01:15,10–15 sek,8920 Randers NV,1,hvid,se beretning,2014,3,15,Danmark
21-07-2014,23:05,3–4 sek,2791 Dragør,2,ukendt,ildkuglese beretning,2014,3,4,Danmark
23-07-2014,03:45,15 sek/2 min,Lille Næstved4700 Næstved,1,"blå, gul, hvid",se beretningse SUFOI’s kommentar,2014,3,135,Danmark
23-07-2014,23:00,5–10 sek,9000 Aalborg,2,hvid,se beretning,2014,3,10,Danmark
24-07-2014,00:43,30 sek,4990 Sakskøbing,4,hvid,se beretning,2014,3,30,Danmark
25-07-2014,00:28,3 sek,9000 Aalborg,1,grå,se beretning,2014,3,3,Danmark
25-07-2014,23:28,2–3 min,8270 Højbjerg,1,ukendt,Ballonerse beretning,2014,3,180,Danmark
28-07-2014,23:20,1–2 sek,2670 Greve,1,ukendt,se beretning,2014,3,2,Danmark
30-07-2014,23:30,1–2 min,Ertbølle strand9640 Farsø,1,"gul, hvid",se beretning,2014,3,120,Danmark
01-08-2014,22:30,45 sek,8300 Odder,2,rød,se beretning,2014,3,45,Danmark
06-08-2014,00:20,25 sek,9560 Hadsund,1,gul,se beretning,2014,3,25,Danmark
06-08-2014,01:30,4–5 sek,9460 Brovst,1,gul,se beretning,2014,3,5,Danmark
06-08-2014,11:40,45 sek,4330 Hvalsø,2,sølv,se beretning,2014,3,45,Danmark
06-08-2014,22:30,2 min,"5466 Båring,  Asperup",5,"gul, rød",se beretning,2014,3,120,Danmark
09-08-2014,23:30,20–30 sek,3650 Ølstykke,1,ukendt,se beretning,2014,3,30,Danmark
12-08-2014,21:45,3 min,2650 Hvidovre,2,hvid,se beretning,2014,3,180,Danmark
13-08-2014,23:00,3–4 min,3650 Ølstykke,2,gul,Ballonerse beretning,2014,3,240,Danmark
15-08-2014,23:50,1–2 min,2300 København S,6,hvid,se beretning,2014,3,120,Danmark
15-08-2014,23:55,2–3 min,2300 København S,5,ukendt,se beretning,2014,3,180,Danmark
16-08-2014,22:08,ca. 5 min,4320 Lejre,1,rød,se beretning,2014,3,300,Danmark
16-08-2014,22:45,?,2750 Ballerup,1,ukendt,Ballonerse beretning,2014,3,0,Danmark
23-08-2014,21:45,20 min,7000 Fredericia,1,"gul, orange",se beretning,2014,3,1200,Danmark
28-08-2014,21:55,15 min,7500 Holstebro,1,ukendt,se beretning,2014,3,900,Danmark
29-08-2014,22:51,30 sek,4735 Mern,1,"gul, hvid",se beretning,2014,3,30,Danmark
30-08-2014,21:30,ca. 10 min,2000 Frederiksberg,1,"orange, rød",Ballonerse beretning,2014,3,600,Danmark
02-09-2014,22:24,2 min,"8370 Selling,  Hadsten",1,gul,se beretning,2014,3,120,Danmark
05-09-2014,20:30,1 min,Lammefjord4571 Grevinge,2,"sort, sølv",se beretning,2014,3,60,Danmark
06-09-2014,21:30,30 min,2750 Ballerup,1,ukendt,Ballonerse beretning,2014,3,1800,Danmark
06-09-2014,23:45,3 min,3600 Frederikssund,4,"gul, orange, rød",Ballonerse beretning,2014,3,180,Danmark
06-09-2014,00:00,60–90 sek,3600 Frederikssund,1,"orange, rød",Ballonerse beretning,2014,3,90,Danmark
11-09-2014,09:35,10 sek,8920 Randers NV,1,sølv,se beretning,2014,3,10,Danmark
12-09-2014,21:00,ca. 10 min,4200 Slagelse,3,"gul, hvid",se beretning,2014,3,600,Danmark
12-09-2014,21:30,max. 3 min,4571 Grevinge,1,gul,Ballonerse beretning,2014,3,180,Danmark
17-09-2014,22:30,4 min,"8260 Stavtrup,  Viby J",2,ukendt,se beretning,2014,3,240,Danmark
27-09-2014,22:13,3–5 min,"8471 Borum,  Sabro",2,"gul, orange",Ballonerse beretning,2014,3,300,Danmark
15-09-1962,20:00,?,Stenderup6640 Rødding,1,gul,,2014,4,0,Danmark
01-06-2013,01:30,5 min,"6800 Kvong,  Varde",2,sort,se beretning,2014,4,300,Danmark
31-07-2014,02:45,45 min,8920 Randers NV,1,"grøn, hvid, rød",se beretning,2014,4,2700,Danmark
20-09-2014,09:00,5–10 min,3630 Jægerspris,1,grå,se beretning,2014,4,600,Danmark
14-10-2014,20:00,?,9530 Skørping,1,ukendt,ildkuglese beretning,2014,4,0,Danmark
04-10-2014,22:02,8–9 min,2000 Frederiksberg,1,"orange, rød",Ballonerse beretning,2014,4,540,Danmark
06-10-2014,02:58,"ca. 1–1,5 sek",2610 Rødovre,1,hvid,ildkuglese beretning,2014,4,5,Danmark
11-10-2014,21:00,ca. 15 min,9220 Aalborg Øst,2,hvid,Projektørlysse beretning,2014,4,900,Danmark
17-10-2014,21:15,?,7860 Spøttrup,4,"grøn, hvid, rød",se beretning,2014,4,0,Danmark
17-10-2014,21:32,?,8000 Aarhus C,2,rød,se beretning,2014,4,0,Danmark
17-10-2014,23:30,8–10 sek,9400 Nørresundby,2,rød,se beretning,2014,4,10,Danmark
18-10-2014,23:04,2½ sek,4760 Vordingborg,1,"blå, grøn, hvid",se beretning,2014,4,120,Danmark
26-10-2014,02:00,1 t,4750 Lundby,1,"grøn, hvid, lilla, orange",se beretning,2014,4,3600,Danmark
28-10-2014,01:30,ca. 2 sek,Avedøre Stations By2650 Hvidovre,1,hvid,ildkuglese beretning,2014,4,2,Danmark
29-10-2014,21:06,ca. 2 min,5800 Nyborg,2,ukendt,Ballonerse beretning,2014,4,120,Danmark
29-10-2014,21:30,5–10 sek,2750 Ballerup,1,sort,se beretning,2014,4,10,Danmark
07-11-2014,18:55,4 sek,1671 København V,1,rød,se beretning,2014,4,4,Danmark
20-11-2014,23:15,3 t,7400 Herning,2,"blå, grøn, hvid, rød",Siriusse beretning,2014,4,10800,Danmark
25-11-2014,16:00,"1,5 min",3070 Snekkersten,1,hvid,se beretning,2014,4,300,Danmark
25-11-2014,21:40,1 sek,Overby4583 Sjællands Odde,1,ukendt,se beretning,2014,4,1,Danmark
27-11-2014,06:40,1 min,2300 København S,1,rød,Ballonerse beretning,2014,4,60,Danmark
01-12-2014,09:01,1–2 min,8600 Silkeborg,1,"hvid, sølv",lysglimt i flyse beretning,2014,4,120,Danmark
02-12-2014,19:45,5 min,5500 Middelfart,4,"orange, rød",se beretning,2014,4,300,Danmark
06-12-2014,17:00,?,8940 Randers SV,1,"blå, orange",Ballonerse beretning,2014,4,0,Danmark
06-12-2014,19:20,20 sek,3080 Tikøb,1,"gul, hvid, orange",se beretning,2014,4,20,Danmark
06-12-2014,21:20,3 min,2300 København S,2,"orange, rød",se beretning,2014,4,180,Danmark
07-12-2014,20:00,30 sek,Fuerteventura,1,hvid,se beretning,2014,4,30,Danmark
09-12-2014,16:30,2 min,2990 Nivå,1,"blå, hvid",se beretning,2014,4,120,Danmark
13-12-2014,20:00,?,4700 Næstved,1,ukendt,se beretning,2014,4,0,Danmark
13-12-2014,20:30,1–2 min,9500 Hobro,2,"gul, hvid",se beretning,2014,4,120,Danmark
13-12-2014,21:55,ca. 4–5 min,3400 Hillerød,2,ukendt,Ballonerse beretning,2014,4,300,Danmark
14-12-2014,01:00,ca. 3 t,4690 Haslev,4,"blå, gul, rød",Siriusse beretning,2014,4,10800,Danmark
15-12-2014,22:05,1 sek,9460 Brovst,1,sort,se beretning,2014,4,1,Danmark
15-12-2014,22:52,2–3 sek,7130 Juelsminde,1,hvid,ildkuglese beretning,2014,4,3,Danmark
27-12-2014,17:20,4–5 min,4330 Hvalsø,2,gul,Ballonerse beretning,2014,4,300,Danmark
31-12-2014,20:50,ca. 5 min,7860 Spøttrup,1,gul,Ballonerse beretning,2014,4,300,Danmark
15-03-1967,20:00,ca. 5 sek,1610 København V,1,ukendt,se beretning,2013,1,5,Danmark
15-01-2012,17:00,10 sek,Kirkeby5771 Stenstrup,1,blå,se beretning,2013,1,10,Danmark
06-10-2012,20:00,20 min,"9800 Vidstrup,  Hjørring",3,"gul, orange",se beretning,2013,1,1200,Danmark
29-12-2012,11:45,ca. 20 sek,2000 Frederiksberg,2,ukendt,se beretningfotosag,2013,1,20,Danmark
31-12-2012,20:52,ca. 3 min,3952 Ilulissat,2,rød,se beretning,2013,1,180,Danmark
15-01-2013,19:20,5–10 min,Farø Broerne4760 Vordingborg,1,hvid,se beretning,2013,1,600,Danmark
01-01-2013,00:15,5 min,2660 Brøndby Strand,1,gul,se beretning,2013,1,300,Danmark
01-01-2013,18:00,20–30 min,4470 Svebølle,2,ukendt,se beretning,2013,1,1800,Danmark
03-01-2013,20:50,1–2 sek,"8305 Alstrup,  Samsø",1,rød,ildkuglese beretning,2013,1,2,Danmark
05-01-2013,20:55,2x3‑4 min,8300 Odder,2,"orange, rød, sort",Ballonerse beretning,2013,1,240,Danmark
07-01-2013,18:00,40 sek,9800 Hjørring,3,ukendt,se beretning,2013,1,40,Danmark
12-01-2013,09:37,2–3 sek,5610 Assens,1,hvid,se beretning,2013,1,3,Danmark
12-01-2013,23:00,1 min,4700 Næstved,3,"gul, hvid",se beretning,2013,1,60,Danmark
21-01-2013,01:45,1 min,2840 Holte,1,hvid,se beretning,2013,1,60,Danmark
23-01-2013,23:30,et par t,"7700 Vorupør,  Thisted",2,"grøn, rød",se beretning,2013,1,0,Danmark
02-02-2013,18:15,min. 10 min,2600 Glostrup,2,ukendt,Ballonerse beretning,2013,1,600,Danmark
02-02-2013,19:00,<1 min,4900 Nakskov,1,ukendt,Ballonerse beretning,2013,1,60,Danmark
02-02-2013,19:28,90–120 sek,8700 Horsens,7,ukendt,se beretning,2013,1,120,Danmark
02-02-2013,22:30,ca. 5–10 min,8680 Ry,2,gul,Ballonerse beretning,2013,1,600,Danmark
03-02-2013,02:35,5–6 sek,2650 Hvidovre,1,"orange, rød",se beretning,2013,1,6,Danmark
09-02-2013,22:40,?,3550 Slangerup,1,ukendt,se beretning,2013,1,0,Danmark
10-02-2013,00:10,ca. 5 min,8270 Højbjerg,2,gul,Ballonerse beretning,2013,1,300,Danmark
10-02-2013,00:30,5 min,8500 Grenå,2,rød,se beretning,2013,1,300,Danmark
10-02-2013,21:00,3 t,4700 Næstved,1,"blå, grøn, gul, rød",se beretning,2013,1,10800,Danmark
11-02-2013,18:30,2–3 t,5800 Nyborg,1,"blå, grøn, gul, rød",se beretning,2013,1,10800,Danmark
14-02-2013,15:15,5 min,"23030 Livigno,",2,sølv,se beretning,2013,1,300,Italien
16-02-2013,21:03,3–4 min,"5600 Horne,  Fåborg",1,"hvid, rød",Ballonerse beretning,2013,1,240,Danmark
17-02-2013,21:22,2 min,2650 Hvidovre,1,gul,se beretningfotosag,2013,1,120,Danmark
23-02-2013,22:45,ca. 10–15 min,8200 Aarhus N,2,rød,Ballonerse beretning,2013,1,900,Danmark
23-02-2013,22:57,5 min,8200 Aarhus N,1,gul,Ballonerse beretning,2013,1,300,Danmark
