date,start_time,duration,location,witnesses,colors,remarks,year,quarter,duration_seconds,country,postnr,latitude,longitude
10-08-2024,03:00,3 min,9240 Nibe,1,hvid,Starlink satellitter,2024,3,180,Danmark,9240,56.94881207,9.57985536
10-08-2024,23:45,5–7 sek,3630 Jægerspris,1,hvid,,2024,3,7,Danmark,3630,55.86932225,11.91680034
12-08-2024,23:30,ca. 15 sek,5700 Svendborg,2,hvid,Satellit/rakettrin,2024,3,15,Danmark,5700,55.01443666,10.59802878
13-08-2024,21:00,10 sek,7741 Frøstrup,1,"hvid, sort",,2024,3,10,Danmark,7741,57.39912576,8.9170332
16-08-2024,23:45,8 min,8830 Tjele,1,"gul, hvid",Raketbrændstof (Falcon 9 opsendelse),2024,3,480,Danmark,8830,56.49762699,9.60208409
16-08-2024,23:45,ca. 15 min.,2770 Kastrup,1,ukendt,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,900,Danmark,2770,55.63352245,12.78698239
16-08-2024,23:48,3–5 min,4300 Holbæk,2,hvid,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,300,Danmark,4300,55.73825064,11.69985606
16-08-2024,23:49,1–2 min,3660 Stenløse,2,hvid,Fotosag. Raketbrændstof (Falcon 9 opsendelse),2024,3,120,Danmark,3660,55.80077298,12.27836793
16-08-2024,23:50,1–2 min,2635 Ishøj,2,gul,Raketbrændstof (Falcon 9 opsendelse),2024,3,120,Danmark,2635,55.58776321,12.39483896
16-08-2024,23:58,5 min,2500 Valby,2,hvid,Raketbrændstof (Falcon 9 opsendelse),2024,3,300,Danmark,2500,55.65941452,12.49869399
17-08-2024,03:40,10 min,2000 Frederiksberg,1,hvid,Fotosag. Projektørlys,2024,3,600,Danmark,2000,55.67945641,12.51562935
19-08-2024,11:30,1–2 sek,4493 Eskebjerg,1,hvid,,2024,3,2,Danmark,4493,,
24-08-2024,00:00,2 min,3230 Græsted,1,gul,Fotosag. Månen,2024,3,120,Danmark,3230,56.22745639,12.06980339
24-08-2024,22:45,30 sek,2765 Smørum,1,ukendt,Varmluftballon,2024,3,30,Danmark,2765,55.72556424,12.28121197
27-08-2024,11:13,,3000 Helsingør,2,"grå, hvid",Fotosag. Kondensstribe,2024,3,0,Danmark,3000,56.03943161,12.61245096
31-08-2024,14:05,,9830 Tårs,1,sort,Fotosag. Fugl,2024,3,0,Danmark,9830,57.37825187,10.14317436
03-09-2024,22:00,Mere end 1 time,3500 Værløse,1,hvid,Fotosag. Foto mangler,2024,3,3600,Danmark,3500,55.77912974,12.35591788
04-09-2024,22:50,5 sek,2300 København S,2,sort,Fugle,2024,3,5,Danmark,2300,55.67362511,12.6554181
04-09-2024,00:00,,7500 Holstebro,2,"hvid, rød",,2024,3,0,Danmark,7500,56.34794414,8.58519299
